model,seed,n_train,n_test,best_params,elapsed_sec,precision_bug,recall_bug,f1_bug,precision_clean,recall_clean,f1_clean,f1_macro,gmean_recall,roc_auc
RandomForest,11,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",100.00105319998693,0.841025641025641,0.8746666666666667,0.857516339869281,0.8694444444444445,0.8346666666666667,0.8517006802721089,0.8546085100706949,0.8544326252614135,0.9248391111111111
LogisticRegression,11,3500,1500,"{'C': 10.0, 'penalty': 'l2', 'solver': 'lbfgs'}",8.238082300056703,0.6960526315789474,0.7053333333333334,0.7006622516556291,0.7013513513513514,0.692,0.6966442953020134,0.6986532734788213,0.6986348593268638,0.7791004444444444
RandomForest,12,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",99.82795229996555,0.8103448275862069,0.8773333333333333,0.8425096030729834,0.8662790697674418,0.7946666666666666,0.8289290681502086,0.835719335611596,0.8349775778759304,0.902208
LogisticRegression,12,3500,1500,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",7.171877700020559,0.687012987012987,0.7053333333333334,0.6960526315789474,0.6972602739726027,0.6786666666666666,0.6878378378378378,0.6919452347083925,0.69187153592428,0.7572728888888888
RandomForest,13,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",100.2428470000159,0.8090575275397797,0.8813333333333333,0.8436502871729419,0.8696925329428989,0.792,0.829030006978367,0.8363401470756544,0.8354735184313145,0.9121457777777777
LogisticRegression,13,3500,1500,"{'C': 10.0, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",8.426515399944037,0.6935897435897436,0.7213333333333334,0.7071895424836602,0.7097222222222223,0.6813333333333333,0.6952380952380952,0.7012138188608776,0.7010481042299769,0.7826115555555555
RandomForest,14,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",100.2203303000424,0.8264150943396227,0.876,0.8504854368932039,0.8680851063829788,0.816,0.8412371134020619,0.8458612751476329,0.8454679177828098,0.9177555555555555
LogisticRegression,14,3500,1500,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",7.880944199976511,0.6828309305373526,0.6946666666666667,0.6886979510905485,0.689280868385346,0.6773333333333333,0.6832548755884331,0.6859764133394908,0.685945252107549,0.7580035555555555
RandomForest,15,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",101.23858559993096,0.8098765432098766,0.8746666666666667,0.841025641025641,0.863768115942029,0.7946666666666666,0.8277777777777777,0.8344017094017093,0.8337076492658829,0.9196782222222223
LogisticRegression,15,3500,1500,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",5.567390000098385,0.688715953307393,0.708,0.6982248520710059,0.6995884773662552,0.68,0.6896551724137931,0.6939400122423995,0.6938587752561757,0.7742897777777779
RandomForest,16,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",100.67414710007142,0.828395061728395,0.8946666666666667,0.8602564102564103,0.8855072463768116,0.8146666666666667,0.8486111111111111,0.8544337606837606,0.8537301160853534,0.9263315555555556
LogisticRegression,16,3500,1500,"{'C': 100.0, 'penalty': 'l2', 'solver': 'lbfgs'}",7.221116999979131,0.7001303780964798,0.716,0.7079762689518787,0.7094133697135061,0.6933333333333334,0.7012811867835469,0.7046287278677128,0.7045755223300527,0.7829546666666666
RandomForest,17,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",100.60372209991328,0.8195302843016069,0.884,0.8505452212957024,0.874095513748191,0.8053333333333333,0.8383067314365025,0.8444259763661024,0.8437503580246154,0.9182373333333333
LogisticRegression,17,3500,1500,"{'C': 100.0, 'penalty': 'l1', 'solver': 'liblinear'}",6.841369199915789,0.6963350785340314,0.7093333333333334,0.702774108322325,0.7038043478260869,0.6906666666666667,0.6971736204576043,0.6999738643899647,0.6999377750120999,0.7768906666666667
RandomForest,18,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",100.63202270003967,0.8083028083028083,0.8826666666666667,0.8438495857233907,0.8707782672540382,0.7906666666666666,0.8287910552061496,0.8363203204647702,0.8354011677697795,0.9142648888888889
LogisticRegression,18,3500,1500,"{'C': 1.0, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",7.098041699966416,0.6853055916775033,0.7026666666666667,0.6938775510204082,0.6949384404924761,0.6773333333333333,0.6860229574611749,0.6899502542407916,0.6898837261129991,0.7755946666666665
RandomForest,19,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",100.03624980000313,0.8063725490196079,0.8773333333333333,0.8403575989782887,0.8654970760233918,0.7893333333333333,0.8256624825662483,0.8330100407722685,0.8321709226141252,0.909448888888889
LogisticRegression,19,3500,1500,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",6.807261000038125,0.6892430278884463,0.692,0.6906187624750499,0.6907630522088354,0.688,0.6893787575150301,0.68999875999504,0.6899971014431872,0.759751111111111
RandomForest,20,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",100.11846419994254,0.8029197080291971,0.88,0.8396946564885496,0.8672566371681416,0.784,0.8235294117647058,0.8316120341266278,0.8306142305547143,0.9094604444444444
